lat,lon,x,y,faa,height
-66.8119053,-63.4080396,-2282948.98,1142815.05,13.28,11489.11
-66.7028894,-63.4909831,-2295631.19,1145010.61,10.95,11499.46
-66.5938388,-63.5725562,-2308304.77,1147230.86,11.09,11509.42
-66.4846118,-63.6539249,-2321007.29,1149436.55,13.96,11503.96
-66.374912,-63.7346599,-2333760.21,1151660.06,32.12,11508.69
-66.2649578,-63.8154737,-2346555.73,1153861.5,54.84,11520.45
-66.1543542,-63.8954179,-2359414.95,1156099.44,94.56,11526.12
-66.0436812,-63.9742545,-2372274.06,1158355.2,118.34,11537.08
-65.9329904,-64.0532341,-2385152.99,1160574.85,115.27,11535.61
-65.8220214,-64.1316733,-2398064.44,1162799.74,91.99,11551.82
-65.7110758,-64.2089895,-2410965.74,1165039.74,58.38,11550.24
-65.5999298,-64.2866747,-2423910.0,1167243.48,30.68,11557.83
-65.4882396,-64.3631604,-2436900.49,1169494.22,23.34,11564.09
-65.3767879,-64.4383689,-2449855.38,1171757.49,23.91,11578.26
-65.2658101,-64.5132441,-2462769.63,1173982.14,25.15,11572.87
-65.1550457,-64.5875523,-2475664.95,1176191.33,22.11,11581.46
-65.0442751,-64.6613562,-2488565.07,1178393.45,18.91,11583.76
-65.3392603,-65.7793032,-2480494.45,1115855.58,30.87,8866.33
-65.4315355,-65.718859,-2469758.91,1114160.4,30.99,8866.25
-65.5236106,-65.6570636,-2459027.42,1112512.63,26.51,8859.25
-65.6157723,-65.5952771,-2448296.79,1110840.03,20.83,8857.17
-65.7078236,-65.532477,-2437567.6,1109195.34,14.84,8860.17
-65.7997757,-65.4699883,-2426864.4,1107521.4,13.82,8856.42
-65.8915572,-65.4070977,-2416180.74,1105851.88,16.93,8853.59
-65.9831497,-65.3435129,-2405512.9,1104199.76,22.7,8852.18
-66.0746367,-65.2793435,-2394854.41,1102556.19,24.47,8849.99
-66.1661416,-65.2158225,-2384216.32,1100863.72,30.88,8846.47
-66.2574035,-65.1509094,-2373586.26,1099219.67,50.5,8844.88
-66.3483805,-65.0858257,-2362992.01,1097574.99,84.33,8845.61
-66.4390859,-65.0208257,-2352437.04,1095918.6,124.96,8843.03
-66.5291651,-64.9561412,-2341962.05,1094258.16,137.87,8834.05
-66.6184622,-64.8909502,-2331567.19,1092634.99,134.23,8833.41
-66.70719,-64.8259437,-2321243.67,1091010.83,115.97,8828.4
-66.7953005,-64.7602137,-2310979.02,1089424.91,76.8,8825.16
-66.883298,-64.6946396,-2300738.32,1087817.38,34.65,8827.5
-66.971367,-64.6287489,-2290493.75,1086198.32,16.49,8821.8
-67.059356,-64.5616002,-2280243.02,1084612.38,6.62,8820.15
-67.1474555,-64.4950767,-2270002.41,1082975.05,13.48,8817.42
-67.2354417,-64.427419,-2259761.51,1081366.95,19.62,8814.63
-67.3239318,-64.3573728,-2249433.97,1079806.63,20.05,8815.05
-67.4139936,-64.2885647,-2238979.87,1078098.66,16.7,8816.31
-67.5049658,-64.2161942,-2228376.51,1076462.38,13.28,8815.97
-67.5969598,-64.143357,-2217671.25,1074770.22,13.11,8819.25
-67.6892094,-64.0698816,-2206938.9,1073065.96,15.07,8818.18
-67.7813241,-63.9953949,-2196212.2,1071382.78,15.93,8813.7
-67.8733164,-63.9207629,-2185506.13,1069686.52,10.94,8809.52
-67.9652582,-63.8453771,-2174802.08,1067996.69,8.7,8807.89
-68.0573587,-63.7694365,-2164082.72,1066294.99,8.2,8806.84
-68.1494016,-63.6926472,-2153364.54,1064602.91,11.22,8807.36
-68.2414448,-63.6148809,-2142639.42,1062921.92,13.39,8803.41
-68.3333328,-63.5372576,-2131943.87,1061217.61,16.54,8803.57
-68.4246165,-63.4596958,-2121321.55,1059515.73,21.78,8797.0
-68.515417,-63.3812563,-2110742.8,1057845.06,22.86,8795.65
-68.6061646,-63.3015675,-2100157.53,1056197.21,16.08,8793.3
-68.697424,-63.2217966,-2089530.73,1054500.38,9.13,8793.58
-68.7885999,-63.1417873,-2078919.37,1052790.24,5.27,8789.91
-68.8793972,-63.0602852,-2068330.01,1051127.01,-5.46,8787.81
-68.9701902,-62.9796019,-2057767.61,1049407.92,-13.68,8784.33
-69.0606213,-62.8967574,-2047213.38,1047758.22,-12.01,8778.95
-69.1509311,-62.8142623,-2036689.25,1046075.29,-6.64,8776.07
-69.2410269,-62.7309688,-2026183.53,1044404.77,-2.38,8775.69
-69.3310192,-62.6469207,-2015686.05,1042739.09,3.57,8772.13
-69.4212698,-62.5631098,-2005178.92,1041024.51,10.25,8772.3
-69.5114879,-62.4768602,-1994642.6,1039369.3,16.8,8767.59
-69.6018106,-62.3905399,-1984106.62,1037683.04,15.91,8767.78
-69.691973,-62.3021072,-1973560.41,1036049.79,7.71,8766.18
-69.7821022,-62.2151047,-1963055.52,1034340.48,-1.87,8761.13
